country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2021,29.31384300140855,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2022,30.03409813105628,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2000,93.90384312454454,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2001,93.94877055205072,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2002,94.00801860620986,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2003,94.06308218617119,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2004,94.22913275785365,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2005,94.39088097135836,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2006,94.54837765266373,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2007,94.7015341607996,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2008,94.85028118730631,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2009,94.99440554753042,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2010,95.13409943506183,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2011,95.26918298045813,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2012,95.39971216032406,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2013,95.52509234031793,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2014,95.64557248016845,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2015,95.76118791424875,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2016,95.87210529015397,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2017,95.97843961683142,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2018,96.08032498341943,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2019,96.17790548419646,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2020,96.27132407273855,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2021,96.39440366215599,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2022,96.51726092362914,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2000,79.83063105759129,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2001,80.12604715167087,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2002,80.41769887398557,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2003,80.70525784687815,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2004,80.98876784231757,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2005,81.26792392182743,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2006,81.54310057989626,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2007,81.81400963359462,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2008,82.08101626771675,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2009,82.34189757692758,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2010,82.59756837565303,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2011,82.84764036885932,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2012,83.09237765784998,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2013,83.33172374927543,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2014,83.56608107917398,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2015,83.79524958673592,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2016,84.01962830815999,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2017,84.23901398689878,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2018,84.45380330488787,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2019,84.6639429471761,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2020,84.86967243486154,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2021,85.07108904813522,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2022,85.14179216154641,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2000,93.78967576580111,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2001,94.04029671878692,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2002,94.2909176717727,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2003,94.54153862475849,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2004,94.79215957774433,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2005,95.0427805307301,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2006,95.29340148371587,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2007,95.54402243670165,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2008,95.79464338968749,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2009,96.04526434267326,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2010,96.29588529565905,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2011,96.54650624864487,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2012,96.79712720163066,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2013,97.04774815461643,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2014,97.29836910760227,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2015,97.54899006058805,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2016,97.79961101357382,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2017,98.05023196655959,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2018,98.05023196655959,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2019,98.05023196655959,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2020,98.05023196655959,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2021,98.05023196655959,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2000,90.63999951350188,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2001,90.64000150398743,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2002,90.64000119079246,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2003,90.64000007953226,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2004,90.64000122695872,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2005,90.63999807682602,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2006,90.64000399119446,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2007,90.64000357406408,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2008,90.64000377337784,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2009,90.64000380166411,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2010,90.63999825471745,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2011,90.64000111225451,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2012,90.63999818872223,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2013,90.64000194763956,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2014,90.64000036690463,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2015,90.64000157108572,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2016,90.63999637743642,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2017,90.6400033809841,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2018,90.63999598061206,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2019,90.63999709232554,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2020,90.63999866500325,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2021,90.64000154870703,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2022,90.64000149006402,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2000,82.35071934953976,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2001,82.45861869229543,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2002,82.5738249153644,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2003,82.69190567248796,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2004,82.81055945085146,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2005,82.92975586052442,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2006,83.04956631881586,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2007,83.16992432534241,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2008,83.29089229769302,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2009,83.26616461969915,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2010,83.24158935354227,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2011,83.21716934133083,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2012,83.19288903400073,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2013,83.16902260855117,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2014,83.14534803505892,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2015,83.07821071659411,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2016,82.93473086070826,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2017,82.79145837603279,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2018,82.95983804125217,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2019,82.82284776003438,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2020,82.68581878546573,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2021,82.5487777192111,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2022,82.41172394155693,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2000,96.71923476996946,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2001,96.89049776991226,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2002,97.06175451030433,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2003,97.23301239484543,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2004,97.40427293087095,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2005,97.57553466847513,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2006,97.74679768418228,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2007,97.91805469512806,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2008,98.08931401734942,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2009,98.26057644584081,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2010,98.43183703185547,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2011,98.60309534338765,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2012,98.77435270231355,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2013,98.94561395905156,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2014,99.11687803941483,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2015,99.28813507318812,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2016,99.45939700998051,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2017,99.63065746310808,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2018,99.80191579858412,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2019,99.97317315453495,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2020,100,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2021,100,Total,,%,,,,Total
Austria,AT,AUT,40,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2022,99.99999936640882,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2000,75.33173612052157,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2001,76.13633186434845,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2002,76.93586720777924,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2003,77.7308610170753,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2004,78.52103925978884,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2005,79.30618519770888,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2006,80.08654758308856,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2007,80.86232032600689,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2008,81.63309347293705,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2009,82.39908277522031,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2010,83.16287199541657,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2011,83.92372869659798,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2012,84.68113003658998,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2013,85.43464913856366,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2014,86.18360199914197,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2015,86.927454285032,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2016,87.66566322154699,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2017,88.39769438674834,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2018,89.12299932666214,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2019,89.84099578731826,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2020,90.49306229700926,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2021,91.0987380024837,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2022,91.6942633030968,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2000,98.88197973282632,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2001,98.88849678145954,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2002,98.89501350297657,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2003,98.90152989737743,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2004,98.90804596466214,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2005,98.91456170483065,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2006,98.92107711788302,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2007,98.92759220381923,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2008,98.93410696263923,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2009,98.94062139434308,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2010,98.94713549893076,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2011,98.95364927640229,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2012,98.96016272675764,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2013,98.9666758499968,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2014,98.97318864611982,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2015,98.97970111512666,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2016,98.98621325701734,Total,,%,,,,Total
Bahrain,BH,BHR,48,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2017,98.99272507179182,Total,,%,,,,Total
